Game,Console,Publisher,Developer,Critic Score,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update_ Real
Mafia II,PS3_b,2K Games,Illusion Softworks,7,1.49m,0.50m,0.70m,0.04m,0.25m,24th Aug 10,24th Aug 10
Dead Rising 2,X360_b,Capcom,Blue Castle Games,8.2,1.49m,0.75m,0.53m,0.09m,0.13m,28th Sep 10,28th Sep 10
Resistance 3,PS3_b,Sony Computer Entertainment,Insomniac Games,8.3,1.49m,0.64m,0.57m,0.05m,0.22m,06th Sep 11,06th Sep 11
007: Quantum of Solace,X360_b,Activision,Treyarch,6.6,1.48m,0.82m,0.51m,0.01m,0.14m,04th Nov 08,04th Nov 08
Minecraft,WiiU_b,Mojang,4J Studios,5.5,1.47m,0.50m,0.49m,0.38m,0.09m,17th Jun 16,05th Aug 18
Fight Night Round 3,X360_b,EA Sports,EA Chicago,8.6,1.47m,1.33m,0.03m,0.01m,0.10m,20th Feb 06,20th Feb 06
Super Monkey Ball,GC_b,Sega,Amusement Vision,9,1.46m,0.95m,0.37m,0.10m,0.04m,17th Nov 01,17th Nov 01
Battlefield: Bad Company,X360_b,Electronic Arts,EA Digital Illusions CE,8.6,1.46m,0.81m,0.46m,0.04m,0.15m,23rd Jun 08,23rd Jun 08
Mass Effect 2,PS3_b,Electronic Arts,BioWare Edmonton,9.3,1.46m,0.78m,0.46m,0.03m,0.18m,18th Jan 11,18th Jan 11
Homefront,X360_b,THQ,Kaos Studios,6.7,1.46m,0.83m,0.48m,0.02m,0.12m,15th Mar 11,15th Mar 11
The House of the Dead 2 & 3 Return,Wii_b,Sega,Sega,6.5,1.45m,0.77m,0.50m,0.03m,0.15m,11th Mar 08,11th Mar 08
BioShock,PS3_b,2K Games,2K Boston / 2K Australia / 2K Marin,9.3,1.44m,0.75m,0.48m,0.01m,0.21m,21st Oct 08,21st Oct 08
WWE SmackDown vs Raw 2008,X360_b,THQ,Yuke's Media Creations,7.3,1.43m,0.92m,0.38m,0.00m,0.13m,13th Nov 07,13th Nov 07
Kinect Joy Ride,X360_b,Microsoft Game Studios,Big Park,5.6,1.43m,0.92m,0.39m,0.00m,0.12m,04th Nov 10,04th Nov 10
UFC Undisputed 2010,PS3_b,THQ,Yuke's Future Media Creators,8.4,1.42m,0.80m,0.40m,0.02m,0.19m,25th May 10,25th May 10
Rayman Raving Rabbids,Wii_b,Ubisoft,Ubisoft Montpellier,7.5,1.42m,1.22m,0.07m,0.02m,0.11m,14th Nov 06,14th Nov 06
Sonic Generations,X360_b,Sega,Sonic Team,7.7,1.39m,0.71m,0.54m,0.00m,0.13m,01st Nov 11,01st Nov 11
Far Cry 2,PS3_b,Ubisoft,Ubisoft Montreal,8.4,1.38m,0.43m,0.69m,0.01m,0.26m,21st Oct 08,21st Oct 08
Deus Ex: Human Revolution,X360_b,Square Enix,Eidos Montreal,8.8,1.38m,0.77m,0.47m,0.02m,0.12m,23rd Aug 11,23rd Aug 11
Deus Ex: Human Revolution,PS3_b,Square Enix,Eidos Montreal,8.8,1.38m,0.50m,0.60m,0.07m,0.22m,23rd Aug 11,23rd Aug 11
Crysis 2,X360_b,Electronic Arts,Crytek,8.7,1.37m,0.73m,0.50m,0.02m,0.13m,22nd Mar 11,22nd Mar 11
Dead Rising 2,PS3_b,Capcom,Blue Castle Games,8.1,1.37m,0.43m,0.57m,0.15m,0.22m,28th Sep 10,28th Sep 10
Need for Speed: The Run,X360_b,Electronic Arts,EA Black Box,5.5,1.37m,0.63m,0.57m,0.00m,0.16m,15th Nov 11,15th Nov 11
Wolfenstein II: The New Colossus,PS4_b,Bethesda Softworks,MachineGames,9,1.36m,0.55m,0.58m,0.01m,0.22m,27th Oct 17,10th May 18
Gardening Mama,DS_b,Majesco,Taito Corporation,6.6,1.36m,0.79m,0.42m,0.01m,0.13m,31st Mar 09,31st Mar 09
Marvel vs. Capcom 3: Fate of Two Worlds,PS3_b,Capcom,Capcom,8.2,1.36m,0.81m,0.28m,0.11m,0.15m,15th Feb 11,15th Feb 11
Metroid: Other M,Wii_b,Nintendo,Nintendo SPD Production Group 1/Team Ninja,7.7,1.36m,0.85m,0.28m,0.13m,0.10m,31st Aug 10,31st Aug 10
Burnout Paradise,X360_b,Electronic Arts,Criterion,8.9,1.35m,0.63m,0.57m,0.01m,0.14m,22nd Jan 08,22nd Jan 08
FIFA Soccer 09,PSP_b,EA Sports,EA Canada,8.1,1.35m,0.23m,0.73m,0.02m,0.37m,14th Oct 08,14th Oct 08
Tom Clancy's Rainbow Six: Vegas 2,PS3_b,Ubisoft,Ubisoft Montreal,8.2,1.34m,0.66m,0.45m,0.04m,0.20m,19th Mar 08,19th Mar 08
Devil May Cry 4,X360_b,Capcom,Capcom,8.5,1.34m,0.79m,0.34m,0.08m,0.13m,05th Feb 08,05th Feb 08
F1 2010,PS3_b,Codemasters,Codemasters Birmingham,8,1.34m,0.25m,0.75m,0.08m,0.26m,21st Sep 10,21st Sep 10
The ICO & Shadow of the Colossus Collection,PS3_b,Sony Computer Entertainment,Bluepoint Games,9,1.34m,0.67m,0.36m,0.13m,0.18m,27th Sep 11,27th Sep 11
Donkey Kong Jungle Beat,GC_b,Nintendo,Nintendo EAD Tokyo,7.9,1.34m,0.84m,0.22m,0.24m,0.04m,14th Mar 05,14th Mar 05
Need for Speed Carbon,PS2_b,Electronic Arts,EA Black Box,7.7,1.34m,1.22m,0.05m,0.05m,0.01m,31st Oct 06,31st Oct 06
Battlefield: Bad Company,PS3_b,Electronic Arts,EA Digital Illusions CE,8.6,1.34m,0.76m,0.36m,0.05m,0.17m,23rd Jun 08,23rd Jun 08
Crysis 2,PS3_b,Electronic Arts,Crytek,8.8,1.33m,0.48m,0.57m,0.06m,0.22m,22nd Mar 11,22nd Mar 11
Alan Wake,X360_b,Microsoft Game Studios,Remedy Entertainment,8.3,1.33m,0.66m,0.50m,0.05m,0.12m,18th May 10,18th May 10
Spider-Man: The Movie,GBA_b,Activision,Digital Eclipse,7.9,1.33m,0.92m,0.35m,0.01m,0.05m,16th Apr 02,16th Apr 02
Tony Hawk's Pro Skater,GB_b,Activision,Natsume,7.1,1.33m,0.90m,0.38m,0.01m,0.05m,29th Feb 00,29th Feb 00
Grand Theft Auto: Chinatown Wars,DS_b,Rockstar Games,Rockstar Leeds/North,9.5,1.33m,0.58m,0.56m,0.05m,0.14m,17th Mar 09,17th Mar 09
WWE SmackDown vs Raw 2008,PS3_b,THQ,Yuke's Media Creations,7.3,1.33m,0.62m,0.50m,0.01m,0.20m,13th Nov 07,13th Nov 07
UFC Undisputed 2010,X360_b,THQ,Yuke's Future Media Creators,8.6,1.32m,0.90m,0.31m,0.00m,0.11m,25th May 10,25th May 10
Fallout 76,PS4_b,Bethesda Softworks,Bethesda Game Studios,5.1,1.32m,0.52m,0.49m,0.10m,0.20m,14th Nov 18,02nd Dec 18
Need for Speed Underground Rivals,PSP_b,Electronic Arts,Team Fusion,7.6,1.32m,0.69m,0.38m,0.02m,0.24m,14th Mar 05,14th Mar 05
MAG: Massive Action Game,PS3_b,Sony Computer Entertainment,Zipper Interactive,7.4,1.32m,0.77m,0.30m,0.09m,0.16m,26th Jan 10,26th Jan 10
Rage,PS3_b,Bethesda Softworks,id Software,7.9,1.32m,0.47m,0.59m,0.06m,0.20m,04th Oct 11,04th Oct 11
NBA Live 07,PS2_b,EA Sports,EA Canada,6.3,1.30m,1.07m,0.04m,0.02m,0.17m,25th Sep 06,25th Sep 06
The Last Guardian,PS4_b,Sony Interactive Entertainment,SIE Japan Studio,7.9,1.29m,0.40m,0.58m,0.13m,0.19m,06th Dec 16,04th Apr 18
Need for Speed Carbon,Wii_b,Electronic Arts,EA Black Box,6.4,1.28m,0.45m,0.66m,0.02m,0.15m,19th Nov 06,19th Nov 06
Castlevania: Symphony of the Night,PS_b,Konami,Konami Computer Entertainment Tokyo,9.3,1.27m,0.58m,0.40m,0.21m,0.08m,02nd Oct 97,02nd Oct 97
WWE '12,X360_b,THQ,"Yuke's Co., Ltd.",7.5,1.27m,0.74m,0.40m,0.00m,0.12m,22nd Nov 11,29th Jan 19
.hack//Infection Part 1,PS2_b,Bandai,CyberConnect2,7.7,1.27m,0.49m,0.38m,0.26m,0.13m,11th Feb 03,11th Feb 03
Tomb Raider: Underworld,PS3_b,Eidos Interactive,Crystal Dynamics,7.8,1.26m,0.45m,0.55m,0.05m,0.21m,18th Nov 08,18th Nov 08
SOCOM: U.S. Navy SEALs Confrontation,PS3_b,Sony Computer Entertainment,Slant Six Games,6.3,1.26m,0.94m,0.17m,0.02m,0.14m,14th Oct 08,14th Oct 08
Assassin's Creed: Bloodlines,PSP_b,Ubisoft,Griptonite Studio,6.3,1.26m,0.43m,0.50m,0.05m,0.28m,17th Nov 09,17th Nov 09
