Game,Console,Publisher,Developer,Critic_Score,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Last_Update__Real,Release_Date
SOCOM:_U.S._Navy_SEALs_Confrontation,PS3_b,Sony_Computer_Entertainment,Slant_Six_Games,6.3,1260000,940000,170000,20000,140000,0,10508
Midnight_Club:_Los_Angeles,PS3_b,Rockstar_Games,Rockstar_San_Diego,8.3,2500000,1590000,540000,50000,330000,0,10514
Midnight_Club:_Los_Angeles,X360_b,Rockstar_Games,Rockstar_San_Diego,8,2400000,1720000,450000,10000,220000,0,10514
Far_Cry_2,X360_b,Ubisoft,Ubisoft_Montreal,8.5,1590000,720000,690000,20000,180000,0,10515
BioShock,PS3_b,2K_Games,2K_Boston_/_2K_Australia_/_2K_Marin,9.3,1440000,750000,480000,10000,210000,0,10515
Far_Cry_2,PS3_b,Ubisoft,Ubisoft_Montreal,8.4,1380000,430000,690000,10000,260000,0,10515
Star_Ocean:_First_Departure,PSP_b,Square_Enix,TOSE_Software,7.5,650000,200000,140000,220000,90000,0,10515
Eternal_Sonata,PS3_b,Namco_Bandai,Tri-Crescendo,8.3,440000,190000,120000,70000,50000,0,10515
Castlevania:_Order_of_Ecclesia,DS_b,Konami,Konami,8.2,370000,270000,30000,40000,30000,0,10515
Fallout_3,X360_b,Bethesda_Softworks,Bethesda_Game_Studios,9,4960000,3410000,990000,90000,460000,0,10522
Fallout_3,PS3_b,Bethesda_Softworks,Bethesda_Game_Studios,8.8,4000000,2180000,1150000,70000,610000,0,10522
Resistance_2,PS3_b,Sony_Computer_Entertainment,Insomniac_Games,8.5,2470000,1150000,840000,100000,380000,0,10529
007:_Quantum_of_Solace,X360_b,Activision,Treyarch,6.6,1480000,820000,510000,10000,140000,0,10529
007:_Quantum_of_Solace,PS3_b,Activision,Treyarch,6.6,1140000,430000,510000,20000,190000,0,10529
Naruto:_Ultimate_Ninja_Storm,PS3_b,Namco_Bandai,CyberConnect2,7.8,1070000,490000,340000,90000,150000,0,10529
