Game,Console,Publisher,Developer,Critic_Score,Total_Sales,NA_Sales,PAL_Sales,Japan_Sales,Other_Sales,Release_Date,Last_Update_Real
The_Lord_of_the_Rings:_The_Two_Towers,PS2_b,Electronic_Arts,Stormfront_Studios,8.3,4.67m,1.94m,1.95m,0.08m,0.70m,21st_Oct_02,21st_Oct_02
Tomb_Raider,PS_b,Eidos_Interactive,Core_Design_Ltd.,8.9,4.63m,2.29m,1.97m,0.13m,0.24m,14th_Nov_96,14th_Nov_96
Forza_Motorsport_4,X360_b,Microsoft_Studios,Turn_10_Studio,9.1,4.60m,2.08m,1.98m,0.06m,0.49m,11th_Oct_11,11th_Oct_11
Guitar_Hero_III:_Legends_of_Rock,Wii_b,RedOctane,Vicarious_Visions,8.6,4.60m,3.04m,1.12m,0.00m,0.44m,28th_Oct_07,28th_Oct_07
FIFA_15,PS3_b,EA_Sports,EA_Canada,6.9,4.56m,0.59m,3.25m,0.04m,0.68m,23rd_Sep_14,23rd_Mar_18
Mario_&_Sonic_at_the_Olympic_Winter_Games,Wii_b,Sega,Sega,6.8,4.54m,1.87m,1.97m,0.22m,0.48m,13th_Oct_09,13th_Oct_09
Overwatch,PS4_b,Blizzard_Entertainment,Blizzard_Entertainment,8.8,4.54m,1.84m,1.80m,0.17m,0.73m,24th_May_16,24th_Mar_18
Madden_NFL_2005,PS2_b,EA_Sports,EA_Tiburon,9.5,4.53m,4.18m,0.26m,0.01m,0.08m,09th_Aug_04,09th_Aug_04
Guitar_Hero_III:_Legends_of_Rock,X360_b,RedOctane,Neversoft,8.7,4.53m,3.19m,0.91m,0.01m,0.42m,28th_Oct_07,28th_Oct_07
Spider-Man:_The_Movie,PS2_b,Activision,Treyarch,8.2,4.48m,2.71m,1.51m,0.03m,0.23m,15th_Apr_02,15th_Apr_02
The_Elder_Scrolls_IV:_Oblivion,X360_b,Take-Two_Interactive,Bethesda_Softworks,9.2,4.47m,2.89m,1.03m,0.13m,0.41m,07th_Jul_09,07th_Jul_09
Tony_Hawk's_Pro_Skater_3,PS2_b,Activision,Neversoft_Entertainment,9.1,4.41m,2.66m,1.29m,0.01m,0.46m,28th_Oct_01,28th_Oct_01
Winning_Eleven:_Pro_Evolution_Soccer_2007,PS2_b,Konami,Konami_Computer_Entertainment_Tokyo,8.8,4.39m,0.10m,2.39m,1.05m,0.86m,06th_Feb_07,06th_Feb_07
Michael_Jackson:_The_Experience,Wii_b,Ubisoft,Ubisoft_Montpellier,5.6,4.37m,2.64m,1.33m,0.01m,0.39m,23rd_Nov_10,23rd_Nov_10
Need_for_Speed:_Most_Wanted,PS2_b,Electronic_Arts,EA_Canada,8.6,4.37m,2.03m,1.79m,0.08m,0.47m,15th_Nov_05,15th_Nov_05
Call_of_Duty:_Advanced_Warfare,X360_b,Activision,High_Moon_Studios,9.1,4.34m,2.81m,1.13m,0.00m,0.41m,04th_Nov_14,04th_Jan_18
Batman:_Arkham_Asylum,PS3_b,Eidos_Interactive,Rocksteady_Studios,9,4.28m,2.26m,1.33m,0.07m,0.63m,25th_Aug_09,25th_Aug_09
Call_of_Duty:_Advanced_Warfare,PS3_b,Activision,High_Moon_Studios,9.1,4.27m,1.59m,1.81m,0.20m,0.67m,04th_Nov_14,04th_Jan_18
Assassin's_Creed:_Revelations,PS3_b,Ubisoft,Ubisoft_Montreal,8.8,4.23m,1.41m,2.03m,0.10m,0.69m,15th_Nov_11,15th_Nov_11
Assassin's_Creed:_Revelations,X360_b,Ubisoft,Ubisoft_Montreal,7.9,4.22m,2.28m,1.47m,0.04m,0.44m,15th_Nov_11,15th_Nov_11
FIFA_Soccer_06,PS2_b,EA_Sports,EA_Canada,8.4,4.21m,0.78m,2.55m,0.04m,0.84m,04th_Oct_05,04th_Oct_05
Street_Fighter_IV,PS3_b,Capcom,Capcom_/_Dimps_Corporation,9.3,4.19m,2.04m,1.05m,0.59m,0.52m,17th_Feb_09,17th_Feb_09
FIFA_Soccer_12,X360_b,EA_Sports,EA_Canada,9.2,4.18m,0.85m,2.79m,0.02m,0.52m,27th_Sep_11,27th_Sep_11
Call_of_Duty:_Ghosts,PS4_b,Activision,Infinity_Ward,7.5,4.17m,1.79m,1.64m,0.05m,0.69m,15th_Nov_13,21st_Mar_18
Teenage_Mutant_Ninja_Turtles,NES_b,Ultra_Games,Konami,5.9,4.17m,3.38m,0.44m,0.31m,0.04m,01st_Jun_89,01st_Jun_89
Star_Wars_Battlefront_(2015),XOne_b,Electronic_Arts,EA_DICE,6.9,4.15m,2.49m,1.26m,0.02m,0.38m,17th_Nov_15,24th_Mar_18
Madden_NFL_2003,PS2_b,EA_Sports,EA_Tiburon,9.4,4.14m,3.36m,0.21m,0.01m,0.56m,12th_Aug_02,12th_Aug_02
Batman:_Arkham_Knight,PS4_b,Warner_Bros._Interactive,Rocksteady_Studios,8.1,4.11m,1.65m,1.68m,0.11m,0.66m,23rd_Jun_15,04th_Jan_18
FIFA_07_Soccer,PS2_b,EA_Sports,Team_Fusion,8.4,4.11m,0.71m,2.48m,0.03m,0.89m,03rd_Oct_06,03rd_Oct_06
Fallout:_New_Vegas,X360_b,Bethesda_Softworks,Obsidian_Entertainment,8.2,4.08m,2.67m,1.03m,0.04m,0.34m,19th_Oct_10,19th_Oct_10
Far_Cry_4,PS4_b,Ubisoft,Ubisoft_Montreal,8.4,4.06m,1.18m,2.14m,0.11m,0.63m,18th_Nov_14,23rd_Jan_18
Carnival_Games,Wii_b,Global_Star_Software,Cat_Daddy_Games,4.2,4.06m,2.12m,1.47m,0.05m,0.42m,28th_Aug_07,28th_Aug_07
World_Soccer_Winning_Eleven_9,PS2_b,Konami,Konami_Computer_Entertainment_Tokyo,8.9,4.06m,0.12m,2.26m,0.90m,0.77m,07th_Feb_06,07th_Feb_06
Forza_Motorsport_2,X360_b,Microsoft_Game_Studios,Turn_10_Studios,9.1,4.05m,2.35m,1.27m,0.03m,0.41m,29th_May_07,29th_May_07
Tekken_Tag_Tournament,PS2_b,Namco,Namco,8.7,4.05m,1.68m,1.51m,0.51m,0.35m,25th_Oct_00,25th_Oct_00
